ticker,liq_notional,adl_notional,total_notional,liq_events,adl_events,total_events,liq_pnl,adl_pnl,total_pnl
PEOPLE,17050.871662,5952.269330000001,23003.140992,22,18,40,-2543.330396,3619.8085499999997,1076.478154
BLAST,21347.742268,15.219744,21362.962012000004,5,1,6,-11237.230746,17.1534,-11220.077346
FTT,15983.682768,0.0,15983.682768,10,0,10,-6571.505954000001,0.0,-6571.505954000001
TNSR,14988.658108000001,0.0,14988.658108000001,4,0,4,-26476.43301,0.0,-26476.43301
NEO,12543.672926,12.79944,12556.472366,9,1,10,-7736.333068,1.199208,-7735.13386
GALA,9381.88946,3128.563586,12510.453046,9,3,12,-6647.918981,9115.518316,2467.599335
KAITO,10895.105608,19.3704,10914.476008,5,1,6,-2802.2347229999996,7.8648,-2794.3699229999997
CELO,6730.214832,2287.54152,9017.756352,6,4,10,-863.37636,2249.605697,1386.229337
ACE,6058.526411,1817.819365,7876.345776,6,2,8,545.824734,26.599045,572.4237790000001
MAV,5498.117723,1923.641791,7421.759514,19,15,34,-2461.401404,3157.449487,696.0480829999997
TURBO,4751.777858,1585.2384780000002,6337.016336000001,8,4,12,-2502.957941,2330.580709,-172.37723200000028
HYPER,5506.075078,50.02,5556.095078,5,3,8,1077.404511,-63.351475,1014.0530359999999
GAS,4081.464624,1453.2655,5534.730124,9,5,14,-463.48632399999997,920.6692580000001,457.18293400000016
UMA,4077.7581780000005,0.0,4077.7581780000005,2,0,2,-3384.418536,0.0,-3384.418536
RUNE,1680.67489,1680.67489,3361.34978,7,7,14,-8953.023672,1894.253755,-7058.769917
WCT,181.519884,0.0,181.519884,2,0,2,37.241464,0.0,37.241464
